"id","ride_id","type","data","created_at","updated_at","deleted_at"
3195053994,37390468,"RIDECOORDS","23.7880093,90.3999928","2018-10-10 21:16:52","2018-10-10 21:16:52",NULL
3195056028,37390468,"RIDECOORDS","23.7880165,90.3999578","2018-10-10 21:16:56","2018-10-10 21:16:56",NULL
3195057813,37390468,"RIDECOORDS","23.7880591,90.3999234","2018-10-10 21:16:59","2018-10-10 21:16:59",NULL
3195060083,37390468,"RIDECOORDS","23.7883047,90.3999437","2018-10-10 21:17:04","2018-10-10 21:17:04",NULL
3195062004,37390468,"RIDECOORDS","23.7885486,90.399981","2018-10-10 21:17:07","2018-10-10 21:17:07",NULL
3195064241,37390468,"RIDECOORDS","23.7886271,90.3999912","2018-10-10 21:17:11","2018-10-10 21:17:11",NULL
3195066670,37390468,"RIDECOORDS","23.788669,90.4000006","2018-10-10 21:17:15","2018-10-10 21:17:15",NULL
3195069032,37390468,"RIDECOORDS","23.7887242,90.4000181","2018-10-10 21:17:19","2018-10-10 21:17:19",NULL
3195070745,37390468,"RIDECOORDS","23.7887563,90.4000257","2018-10-10 21:17:22","2018-10-10 21:17:22",NULL
3195072450,37390468,"RIDECOORDS","23.7887987,90.4000248","2018-10-10 21:17:25","2018-10-10 21:17:25",NULL
3195074230,37390468,"RIDECOORDS","23.7888656,90.4000278","2018-10-10 21:17:28","2018-10-10 21:17:28",NULL
3195075514,37390468,"RIDECOORDS","23.7889313,90.4000338","2018-10-10 21:17:31","2018-10-10 21:17:31",NULL
3195077783,37390468,"RIDECOORDS","23.7889688,90.4000414","2018-10-10 21:17:35","2018-10-10 21:17:35",NULL
3195079496,37390468,"RIDECOORDS","23.7889754,90.4000436","2018-10-10 21:17:38","2018-10-10 21:17:38",NULL
3195081676,37390468,"RIDECOORDS","23.788977,90.4000442","2018-10-10 21:17:41","2018-10-10 21:17:41",NULL
3195083475,37390468,"RIDECOORDS","23.7890359,90.4000572","2018-10-10 21:17:45","2018-10-10 21:17:45",NULL
3195085753,37390468,"RIDECOORDS","23.7890747,90.4000683","2018-10-10 21:17:49","2018-10-10 21:17:49",NULL
3195088608,37390468,"RIDECOORDS","23.7890747,90.4000683","2018-10-10 21:17:54","2018-10-10 21:17:54",NULL
3195088971,37390468,"RIDECOORDS","23.789079,90.4000693","2018-10-10 21:17:55","2018-10-10 21:17:55",NULL
3195096478,37390468,"RIDECOORDS","23.7891365,90.4000722","2018-10-10 21:18:08","2018-10-10 21:18:08",NULL
3195097168,37390468,"RIDECOORDS","23.7891365,90.4000722","2018-10-10 21:18:09","2018-10-10 21:18:09",NULL
3195098440,37390468,"RIDECOORDS","23.789173,90.4000819","2018-10-10 21:18:12","2018-10-10 21:18:12",NULL
3195098473,37390468,"RIDECOORDS","23.7891926,90.4000862","2018-10-10 21:18:12","2018-10-10 21:18:12",NULL
3195099838,37390468,"RIDECOORDS","23.7891954,90.4000868","2018-10-10 21:18:14","2018-10-10 21:18:14",NULL
3195103872,37390468,"RIDECOORDS","23.7892951,90.4000983","2018-10-10 21:18:21","2018-10-10 21:18:21",NULL
3195105350,37390468,"RIDECOORDS","23.7893832,90.4001144","2018-10-10 21:18:23","2018-10-10 21:18:23",NULL
3195107709,37390468,"RIDECOORDS","23.7893413,90.4001092","2018-10-10 21:18:28","2018-10-10 21:18:28",NULL
3195107933,37390468,"RIDECOORDS","23.7894273,90.4001234","2018-10-10 21:18:28","2018-10-10 21:18:28",NULL
3195108331,37390468,"RIDECOORDS","23.7892951,90.4000983","2018-10-10 21:18:29","2018-10-10 21:18:29",NULL
3195112086,37390468,"RIDECOORDS","23.7894421,90.4001252","2018-10-10 21:18:36","2018-10-10 21:18:36",NULL
3195112348,37390468,"RIDECOORDS","23.7895099,90.4001425","2018-10-10 21:18:36","2018-10-10 21:18:36",NULL
3195112612,37390468,"RIDECOORDS","23.7893413,90.4001092","2018-10-10 21:18:37","2018-10-10 21:18:37",NULL
3195114388,37390468,"RIDECOORDS","23.7894421,90.4001252","2018-10-10 21:18:40","2018-10-10 21:18:40",NULL
3195120401,37390468,"RIDECOORDS","23.789538,90.4001487","2018-10-10 21:18:51","2018-10-10 21:18:51",NULL
3195121435,37390468,"RIDECOORDS","23.789538,90.4001487","2018-10-10 21:18:53","2018-10-10 21:18:53",NULL
3195122218,37390468,"RIDECOORDS","23.7895443,90.4001501","2018-10-10 21:18:54","2018-10-10 21:18:54",NULL
3195124310,37390468,"RIDECOORDS","23.7897108,90.4001266","2018-10-10 21:18:58","2018-10-10 21:18:58",NULL
3195128415,37390468,"RIDECOORDS","23.7895943,90.4001388","2018-10-10 21:19:04","2018-10-10 21:19:04",NULL
3195130149,37390468,"RIDECOORDS","23.7895943,90.4001388","2018-10-10 21:19:08","2018-10-10 21:19:08",NULL
3195130729,37390468,"RIDECOORDS","23.7900644,90.4002468","2018-10-10 21:19:09","2018-10-10 21:19:09",NULL
3195131465,37390468,"RIDECOORDS","23.7901426,90.4002665","2018-10-10 21:19:10","2018-10-10 21:19:10",NULL
3195132050,37390468,"RIDECOORDS","23.7899688,90.4002177","2018-10-10 21:19:12","2018-10-10 21:19:12",NULL
3195132239,37390468,"RIDECOORDS","23.7898104,90.4001577","2018-10-10 21:19:12","2018-10-10 21:19:12",NULL
3195133708,37390468,"RIDECOORDS","23.7903926,90.4003138","2018-10-10 21:19:14","2018-10-10 21:19:14",NULL
3195133774,37390468,"RIDECOORDS","23.7899017,90.4001938","2018-10-10 21:19:14","2018-10-10 21:19:14",NULL
3195133789,37390468,"RIDECOORDS","23.7898104,90.4001577","2018-10-10 21:19:14","2018-10-10 21:19:14",NULL
3195135744,37390468,"RIDECOORDS","23.7905614,90.4003311","2018-10-10 21:19:18","2018-10-10 21:19:18",NULL
3195137210,37390468,"RIDECOORDS","23.7899688,90.4002177","2018-10-10 21:19:21","2018-10-10 21:19:21",NULL
3195137366,37390468,"RIDECOORDS","23.7908001,90.4003499","2018-10-10 21:19:21","2018-10-10 21:19:21",NULL
