"id","ride_id","type","data","created_at","updated_at","deleted_at"
116193719,21709796,"RIDECOORDS","22.3691251,91.8318635","2018-06-24 14:01:45","2018-06-24 14:01:45",NULL
116194347,21709796,"RIDECOORDS","22.3691236,91.831894","2018-06-24 14:01:47","2018-06-24 14:01:47",NULL
116196096,21709796,"RIDECOORDS","22.3691235,91.8319185","2018-06-24 14:01:53","2018-06-24 14:01:53",NULL
116196434,21709796,"RIDECOORDS","22.3691321,91.8319956","2018-06-24 14:01:54","2018-06-24 14:01:54",NULL
116197418,21709796,"RIDECOORDS","22.3691533,91.832047","2018-06-24 14:01:57","2018-06-24 14:01:57",NULL
116198833,21709796,"RIDECOORDS","22.3691668,91.83209","2018-06-24 14:02:02","2018-06-24 14:02:02",NULL
116199520,21709796,"RIDECOORDS","22.3692112,91.8322068","2018-06-24 14:02:04","2018-06-24 14:02:04",NULL
116200872,21709796,"RIDECOORDS","22.3692305,91.8322713","2018-06-24 14:02:08","2018-06-24 14:02:08",NULL
116201398,21709796,"RIDECOORDS","22.3692118,91.8323347","2018-06-24 14:02:10","2018-06-24 14:02:10",NULL
116202373,21709796,"RIDECOORDS","22.369201,91.8323828","2018-06-24 14:02:13","2018-06-24 14:02:13",NULL
116204142,21709796,"RIDECOORDS","22.3691831,91.8325079","2018-06-24 14:02:19","2018-06-24 14:02:19",NULL
116204996,21709796,"RIDECOORDS","22.3691778,91.8326569","2018-06-24 14:02:22","2018-06-24 14:02:22",NULL
116208060,21709796,"RIDECOORDS","22.3691603,91.8328856","2018-06-24 14:02:31","2018-06-24 14:02:31",NULL
116208087,21709796,"RIDECOORDS","22.3691603,91.8328856","2018-06-24 14:02:31","2018-06-24 14:02:31",NULL
116208166,21709796,"RIDECOORDS","22.3691092,91.8331305","2018-06-24 14:02:32","2018-06-24 14:02:32",NULL
116208210,21709796,"RIDECOORDS","22.3691357,91.8330073","2018-06-24 14:02:32","2018-06-24 14:02:32",NULL
116210529,21709796,"RIDECOORDS","22.3690771,91.8332302","2018-06-24 14:02:39","2018-06-24 14:02:39",NULL
116210553,21709796,"RIDECOORDS","22.3690771,91.8332302","2018-06-24 14:02:39","2018-06-24 14:02:39",NULL
116210606,21709796,"RIDECOORDS","22.3690531,91.8333402","2018-06-24 14:02:39","2018-06-24 14:02:39",NULL
116212468,21709796,"RIDECOORDS","22.3690432,91.8335117","2018-06-24 14:02:46","2018-06-24 14:02:46",NULL
116212953,21709796,"RIDECOORDS","22.369084,91.833844","2018-06-24 14:02:47","2018-06-24 14:02:47",NULL
116215614,21709796,"RIDECOORDS","22.3691033,91.8340865","2018-06-24 14:02:55","2018-06-24 14:02:55",NULL
116216011,21709796,"RIDECOORDS","22.3691033,91.8340865","2018-06-24 14:02:57","2018-06-24 14:02:57",NULL
116216266,21709796,"RIDECOORDS","22.3691142,91.834403","2018-06-24 14:02:57","2018-06-24 14:02:57",NULL
116216570,21709796,"RIDECOORDS","22.3691245,91.8346356","2018-06-24 14:02:58","2018-06-24 14:02:58",NULL
116219540,21709796,"RIDECOORDS","22.3691033,91.8348801","2018-06-24 14:03:08","2018-06-24 14:03:08",NULL
116220059,21709796,"RIDECOORDS","22.3691245,91.8346356","2018-06-24 14:03:09","2018-06-24 14:03:09",NULL
116220258,21709796,"RIDECOORDS","22.36901,91.8354574","2018-06-24 14:03:10","2018-06-24 14:03:10",NULL
116220354,21709796,"RIDECOORDS","22.3689533,91.8356939","2018-06-24 14:03:10","2018-06-24 14:03:10",NULL
116220366,21709796,"RIDECOORDS","22.369071,91.8351415","2018-06-24 14:03:10","2018-06-24 14:03:10",NULL
116224658,21709796,"RIDECOORDS","22.3688499,91.8359744","2018-06-24 14:03:24","2018-06-24 14:03:24",NULL
116224858,21709796,"RIDECOORDS","22.3688543,91.8361747","2018-06-24 14:03:24","2018-06-24 14:03:24",NULL
116224925,21709796,"RIDECOORDS","22.3688496,91.8364355","2018-06-24 14:03:25","2018-06-24 14:03:25",NULL
116225112,21709796,"RIDECOORDS","22.368796,91.8367273","2018-06-24 14:03:25","2018-06-24 14:03:25",NULL
116227136,21709796,"RIDECOORDS","22.3687652,91.8369013","2018-06-24 14:03:31","2018-06-24 14:03:31",NULL
116227400,21709796,"RIDECOORDS","22.3687449,91.8369842","2018-06-24 14:03:32","2018-06-24 14:03:32",NULL
116228370,21709796,"RIDECOORDS","22.3686991,91.8371509","2018-06-24 14:03:35","2018-06-24 14:03:35",NULL
116229717,21709796,"RIDECOORDS","22.3686991,91.8371509","2018-06-24 14:03:39","2018-06-24 14:03:39",NULL
116231628,21709796,"RIDECOORDS","22.368641,91.8373797","2018-06-24 14:03:45","2018-06-24 14:03:45",NULL
116231900,21709796,"RIDECOORDS","22.368641,91.8373797","2018-06-24 14:03:46","2018-06-24 14:03:46",NULL
116231912,21709796,"RIDECOORDS","22.3686214,91.8375815","2018-06-24 14:03:46","2018-06-24 14:03:46",NULL
